item_name,PDF,item_title
custom,0," ""Girl Cape, spring girl coat, blue child's coat, spring cape, linen coat, children's clothing,easter clothing,size 4T, 5, 6, 7, 8, 10, 12, 14"""
custom,0," ""Girl Blouse, cotton voile top, children's clothing, girls clothing, girl summer, toddler clothing, size 12 mo, 2T, 3T, 4T, 5, 6,7,8"""
custom,0," 'Girl Bonnet, winter baby hat, feather bonnet, black bonnet, linen bonnet, special occasion, christmas bonnet, size 2T, 3T, 4T'"
custom,0," 'Girl Linen Cape, black poncho, girl winter cape, christmas clothing, toddler cape, special occasion, Mia Cape, size 2T, 3T, 4T, 5, 6, 7, 8'"
lucy,1," 'Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, Lucy pattern,sizes 3/4,5/6,7/8,9/10, 11/12'"
custom,0, 'Drawer Sachet'
marcelle,1," 'Girl Blouse PDF, download girl pdf, childrens blouse pdf, top girl pattern, easy sewing pattern, Marcelle Blouse pdf, size 2T, 3T, 4T, 5, 6'"
charlotte,1," 'Girls Blouse PDF, sewing pattern, top pattern, Charlotte pdf, girl dress pdf, sewing pdf girl, sizes 2T, 3T, 4, 5, 6, 7, and 8'"
charlotte,1," 'Girls Blouse PDF, sewing pattern, top pattern, Charlotte pattern, girl dress pdf, sewing pdf girl, sizes 2T, 3T, 4, 5, 6, 7, and 8'"
custom,0," ""Girl Blouse, summer blouse, hippy chic, children's clothing, toddler boho, girl floral blouse, toddler clothing, size 3T, 4T, 5, 6,7,8"""
custom,0," 'Girl Cape, winter clothing, velvet cape, special occasion, dress clothing, girl clothing, wedding cape, size 2T, 3T, 4T, 5, 6, 7, and 8'"
venezia,1," 'Baby Girl Romper PDF, Venezia Romper PDF, baby girl patterns, summer baby PDF, baby sewing patterns, toddler pattern, 0-3, 6, 9, 12, 18 mo'"
lucy,1," 'Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, Lucy pattern,sizes 2T,3T,4T,5T,6,7,8,10,12'"
angelica,1," 'Girl Blouse Pattern, Angelica Blouse PDF, girl top pattern, children blouse pdf, kids pdf pattern, top pdf, size 2T, 3T, 4T, 5, 6, 7,8,10,12'"
belted_shorts,1," ""Girl Shorts PDF, Belted Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7,8"""
venezia,1," 'Baby Girl Romper PDF, Venezia Romper PDF, baby patterns, summer baby PDF, baby sewing patterns, toddler pattern, bubble romper pdf, baby pdf'"
angelica,1," 'Angelica Blouse PDF, girl blouse pattern, girl top pattern, children blouse pdf, kids pdf pattern, top pdf, girl blouse pdf, girl shirt pdf'"
venezia,1," 'Venezia Romper PDF, Baby Girl Romper PDF, baby patterns, summer baby PDF, baby sewing patterns, toddler pattern, bubble romper pdf, baby pdf'"
angelica,1," 'Angelica Blouse PDF, girl blouse pattern, girl top pattern, children blouse pdf, kids pdf, top pdf, girl blouse pdf, pdf sewing pattern'"
gathered_skirt,1," 'Gathered Skirt PDF, sewing pattern, girls easy pattern, pdf pattern, girls skirt pdf, little girls pattern, pdf sewing, toddler skirt pdf'"
belted_shorts,1," 'Belted Shorts PDF, girl short pattern, summer shorts pdf, pdf pattern, elastic shorts pdf, children shorts pdf, girl pattern,easy sewing pdf'"
charlotte,1," ""Charlotte PDF, child's blouse pdf, sewing pattern, top pattern, girl dress pdf, girl pdf, girl dress pattern, pdf patterns, girl blouse pdf"""
hazel,1," ""Hazel PDf, girl top pattern, girl pdf, girl pattern, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"""
hazel,1," ""Hazel PDf, girl top pattern, girl pdf, girl shirt pdf, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"""
charlotte,1," 'Charlotte Dress PDF, summer pattern, blouse pattern, girl dress pattern, girl dress pdf, easy dress pattern, girl sewing pdf, girl pattern'"
custom,0," 'Girl Cape, black cape, special occasion, wool black cape, winter wedding, black winter coat, children cape, 2T, 3T, 4T, 5, 6, 7, 8'"
criss_cross_cape,1," 'Criss-Cross Cape PDF, cape pattern, girl coat pattern, coat sewing pattern, girl coat pdf, cape sewing PDF, winter pdf, girl cape pdf,'"
hazel,1," ""Hazel PDF, girl top pattern, girl pdf, girl pattern, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"""
marcelle,1," 'Marcelle Blouse PDF, girl blouse pdf, girl sewing pdf, childrens blouse pdf, girl pattern, easy sewing pattern, toddler pattern,girl pattern'"
cali,1," 'Cali Blouse PDF, girl blouse pdf, girl dress pattern, sewing girl pattern, kids pdf, top girl pattern, boho blouse pdf, sewing pdf'"
rosie_cotton,1," 'Rosie Cotton PDF, girl dress pattern, dress pdf, summer dress pdf, flutter sleeve pdf, girl pattern, girl pdf, sewing pdf, sewing pattern'"
rosie_cotton,1," 'Rosie Cotton PDF, girl dress pdf, summer dress pdf, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, dress girl pattern, dress pdf'"
custom,0," 'For Skye...gold and pink sequined headband, sequin skirt, and cream rickrack blouse.  Includes international shipping.'"
lucy,1," 'Lucy Blouse PDF, girl pattern, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, girl sewing pdf, toddler pdf'"
mae,1," 'Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween sewing, baby pdf'"
mae,1," 'Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween sewing, baby dress pdf'"
custom,0," 'Gold Sequin Skirt, holiday skirt, gold skirt, tween holiday clothing, christmas skirt, special occasion, size 2T, 3T, 4T, 5, 6, 7, 8, 10, 12'"
mae,1," 'Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween pattern, baby pdf, girl dress pdf, sewing pdf, sewing patterns'"
custom,0," 'Girl Pants, linen clothing, girls sailor pants, girl linen pants, white linen pants, Jilly Atlanta, sizes 2T, 3T, 4T, 5, 6, 7, and 8 sizes'"
